Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"SVC vs BRIC","Sinister Villains Culto","Sinister Villains","Brani Preferiti Pubblici","Playlist","QZDA62360760","0CRvHsTVNNrrF9Rv3TYEhu"
"Delusions of Saviour","Slayer","Repentless","Brani Preferiti Pubblici","Playlist","DED831500594","06WUUNf7q18NZfjIsQFsfa"
"Death Of Immortality (Warhammer40K)","Pathios Productions","Death Of Immortality (Warhammer40K)","Brani Preferiti Pubblici","Playlist","QZMEQ2360990","0NK0mP5KjWOTxd9oHXNuRY"
"Amore","Sentiero Dei Principi","Amore","Brani Preferiti Pubblici","Playlist","QZMEN2055387","6x3OqRofExofE5ZHE4pTLQ"
"Bobo Merenda","Enzo Jannacci","Enzo Jannacci","Brani Preferiti Pubblici","Playlist","ITB006800642","273T3OLeXu9fxOBSAYXy6A"
"Ho Visto Un Re","Enzo Jannacci","Enzo Jannacci - I Miti","Brani Preferiti Pubblici","Playlist","ITB006800609","2ZVohWP6HSpLeoXGvcQWgh"
"Il Libro In Una Mano, La Bomba Nell'altra","Negrita","Helldorado","Brani Preferiti Pubblici","Playlist","ITUM70801198","7lansfbWQGyVNMaCy5f65Z"
"Vertigine","Linea 77","10","Brani Preferiti Pubblici","Playlist","ITUM70901037","09ypMZB7BNAJPJiTDC5o36"
"Verso La Vetta","Plakkaggio","Verso La Vetta","Brani Preferiti Pubblici","Playlist","ITY862200034","0NjgSGTDpK8459CPp2aMMY"
"Tossico d'aria","Rancore","Elettrico","Brani Preferiti Pubblici","Playlist","ITJ790600215","3mYa2GYfsEeGjnomOGkxm2"
"The First of Its Kind","Ola Englund","The First of Its Kind","Brani Preferiti Pubblici","Playlist","CH6542345745","1HBnSsgh0IluCxPhvx5uSz"
"Art Of Violence","We Are Magonia","Art Of Violence","Brani Preferiti Pubblici","Playlist","QZK6K2394909","2ugXeXIpVePhQ4jqc4XDXL"
"Mayhem","DubZenStep","The Suicide Box","Brani Preferiti Pubblici","Playlist","DEAR41934915","1KWvJ7KrQ5eZAZjKUuaQxo"
"Sei in un paese meraviglioso","Giancane","Sei in un paese meraviglioso","Brani Preferiti Pubblici","Playlist","ITCV32310601","0BaYBfrLf4IwcRQInvXOkF"
"L'orologio del Coniglio","NoLove4Me","L'orologio del Coniglio","Brani Preferiti Pubblici","Playlist","ITEMM2300001","6HPg5U7eaZvxcgWQBA74XS"
"One Of These Days","DanielFromSalem","One Of These Days","Brani Preferiti Pubblici","Playlist","GX8LE2390696","2C2qrwyw7eFQtGDHLYljQX"
"chainsaw attacks!","Kensuke Ushio","Chainsaw Man Original Soundtrack Complete Edition - chainsaw edge fragments -","Brani Preferiti Pubblici","Playlist","JPU902204021","4FOrg7ifJ1XqCQErDHWGEy"
"Dolor","Angelmaker","Angelmaker","Brani Preferiti Pubblici","Playlist","QZES91997620","3rxHAu7WI36JT0DRqTaofp"
"Confessions of a Thief","David Csontos","Confessions of a Thief","Brani Preferiti Pubblici","Playlist","QZK6G2397471","7CC8GNCf2qAb8N3UFIIboq"
"Need to Be Strong (Music from Naruto)","Nico Bellisario","Need to Be Strong (Music from Naruto)","Brani Preferiti Pubblici","Playlist","QZK6K2036981","6yFAPHtojMLohPuS6kEFZu"
"Martial Arts (Bang Theme) - From ""One Punch Man""","Gabriele Motta","Martial Arts (Bang Theme) [From ""One Punch Man""]","Brani Preferiti Pubblici","Playlist","FR59R2195220","0jJpPVPfW30tV5aVVX5wRg"
"Death Itself","Aaron F. Bianchi Jupiter","Death Itself","Brani Preferiti Pubblici","Playlist","QZK6H2387810","4cS6JtGCxXVONQCfabIekU"
"Outlander","Geoffplaysguitar","Outlander","Brani Preferiti Pubblici","Playlist","QZDA82143275","1YjFk8b0QVrEf7EdwFuiKQ"
"The Blood Hunt","Marzuku","Industrial Hell","Brani Preferiti Pubblici","Playlist","BXVR02209096","1Q06ERYJtHRiIE37oQ7HsU"
"The Last Breath of Humanity","David Csontos","The Last Breath of Humanity","Brani Preferiti Pubblici","Playlist","QZK6K2388531","0Jxq83rt8ZTAIuQkZBssOn"
"chainsaw attacks!","Kensuke Ushio","Chainsaw Man Original Soundtrack EP Vol.1 (Episode 1-3)","Brani Preferiti Pubblici","Playlist","JPU902204021","1hEfwOaPFPFk7uNnXYCYXA"
"Enter the arena","mabanua","メガロボクス オリジナル・サウンドトラック","Brani Preferiti Pubblici","Playlist","JPZ921805375","6IX3ZqP8tKlfZg9FJ6tNlq"
"I Hear Voices","Death Bundy","I Hear Voices","Brani Preferiti Pubblici","Playlist","QZK6L2371511","55p4rn9G7bQu7V9o4GlToS"
"Sky Demon Boss Theme","Noah Giesler","Sky Demon Boss Theme","Brani Preferiti Pubblici","Playlist","QZNWV2022657","7xA2d3xiDDcRVOkigpAQ6m"
